iter	Passed	Remaining
721	3810	1467
722	3815	1462
723	3820	1456
724	3824	1450
725	3829	1445
726	3833	1439
727	3838	1434
728	3843	1428
729	3849	1423
730	3854	1418
731	3859	1413
732	3864	1407
733	3869	1402
734	3874	1396
735	3879	1391
736	3884	1386
737	3889	1380
738	3894	1375
739	3899	1370
740	3904	1364
741	3909	1359
742	3914	1354
743	3920	1348
744	3926	1343
745	3931	1338
746	3936	1333
747	3941	1327
748	3946	1322
749	3952	1317
750	3958	1312
751	3964	1307
752	3969	1301
753	3975	1296
754	3980	1291
755	3985	1286
756	3990	1281
757	3995	1275
758	4000	1270
759	4005	1264
760	4010	1259
761	4014	1254
762	4020	1248
763	4025	1243
764	4030	1238
765	4035	1232
766	4040	1227
767	4045	1222
768	4050	1216
769	4055	1211
770	4059	1205
771	4063	1200
772	4067	1194
773	4072	1189
774	4076	1183
775	4081	1178
776	4085	1172
777	4090	1167
778	4094	1161
779	4099	1156
780	4104	1150
781	4108	1145
782	4112	1139
783	4117	1134
784	4121	1128
785	4125	1123
786	4130	1117
787	4134	1112
788	4139	1106
789	4143	1101
790	4149	1096
791	4154	1091
792	4158	1085
793	4163	1080
794	4168	1074
795	4172	1069
796	4177	1063
797	4181	1058
798	4186	1053
799	4190	1047
800	4195	1042
801	4199	1036
802	4203	1031
803	4208	1026
804	4213	1020
805	4217	1015
806	4222	1009
807	4226	1004
808	4230	998
809	4234	993
810	4239	988
811	4243	982
812	4247	977
813	4252	971
814	4256	966
815	4260	960
816	4265	955
817	4269	950
818	4274	944
819	4278	939
820	4282	933
821	4287	928
822	4291	923
823	4296	917
824	4301	912
825	4306	907
826	4311	901
827	4316	896
828	4321	891
829	4326	886
830	4331	880
831	4336	875
832	4342	870
833	4348	865
834	4353	860
835	4358	855
836	4363	849
837	4368	844
838	4373	839
839	4378	834
840	4383	828
841	4388	823
842	4393	818
843	4398	812
844	4403	807
845	4408	802
846	4413	797
847	4419	792
848	4424	786
849	4429	781
850	4434	776
851	4439	771
852	4445	766
853	4450	760
854	4454	755
855	4459	750
856	4463	744
857	4467	739
858	4472	734
859	4476	728
860	4481	723
861	4485	718
862	4490	712
863	4494	707
864	4498	702
865	4503	696
866	4508	691
867	4512	686
868	4517	681
869	4522	675
870	4526	670
871	4531	665
872	4537	660
873	4541	654
874	4547	649
875	4553	644
876	4557	639
877	4563	634
878	4568	628
879	4574	623
880	4579	618
881	4584	613
882	4589	608
883	4593	602
884	4599	597
885	4604	592
886	4609	587
887	4614	582
888	4620	576
889	4625	571
890	4630	566
891	4635	561
892	4640	555
893	4645	550
894	4652	545
895	4657	540
896	4662	535
897	4667	530
898	4672	524
899	4678	519
900	4683	514
901	4687	509
902	4692	504
903	4698	498
904	4702	493
905	4707	488
906	4713	483
907	4718	478
908	4722	472
909	4728	467
910	4733	462
911	4737	457
912	4743	451
913	4747	446
914	4753	441
915	4759	436
916	4764	431
917	4769	426
918	4775	420
919	4780	415
920	4785	410
921	4791	405
922	4797	400
923	4802	395
924	4808	389
925	4813	384
926	4819	379
927	4825	374
928	4830	369
929	4835	363
930	4841	358
931	4846	353
932	4853	348
933	4859	343
934	4865	338
935	4871	333
936	4878	328
937	4885	322
938	4891	317
939	4897	312
940	4902	307
941	4907	302
942	4913	297
943	4919	291
944	4925	286
945	4931	281
946	4936	276
947	4941	271
948	4947	265
949	4952	260
950	4959	255
951	4966	250
952	4971	245
953	4976	239
954	4981	234
955	4986	229
956	4992	224
957	4997	219
958	5002	213
959	5008	208
960	5013	203
961	5017	198
962	5023	192
963	5027	187
964	5031	182
965	5036	177
966	5040	172
967	5045	166
968	5049	161
969	5053	156
970	5058	151
971	5062	145
972	5066	140
973	5071	135
974	5076	130
975	5080	124
976	5085	119
977	5089	114
978	5093	109
979	5097	104
980	5102	98
981	5107	93
982	5112	88
983	5117	83
984	5121	77
985	5126	72
986	5131	67
987	5136	62
988	5141	57
989	5146	51
990	5151	46
991	5156	41
992	5161	36
993	5166	31
994	5172	25
995	5177	20
996	5182	15
997	5187	10
998	5192	5
999	5197	0
